timestamp,edge,weight,utilization
2025-11-20 15:42:54,"(2,3)",498.9303436279297,0.0103
2025-11-20 15:42:57,"(1,2)",498.93306816101074,0.0131
2025-11-20 15:42:57,"(1,3)",498.93294540405276,0.0129
2025-11-20 15:42:57,"(2,3)",498.9330379486084,0.0130
2025-11-20 15:43:01,"(1,2)",498.9325495147705,0.0125
2025-11-20 15:43:01,"(1,3)",498.93270500183104,0.0127
2025-11-20 15:43:01,"(2,3)",498.9325584411621,0.0126
2025-11-20 15:43:04,"(1,2)",498.9326978302002,0.0127
2025-11-20 15:43:04,"(1,3)",498.93282363891603,0.0128
2025-11-20 15:43:04,"(2,3)",498.93273193359374,0.0127
2025-11-20 15:43:07,"(1,2)",498.932961807251,0.0130
2025-11-20 15:43:07,"(1,3)",498.9329054260254,0.0129
2025-11-20 15:43:07,"(2,3)",498.9328845977783,0.0129
2025-11-20 15:43:11,"(1,2)",498.93292808532715,0.0129
2025-11-20 15:43:11,"(1,3)",498.9329396057129,0.0129
2025-11-20 15:43:11,"(2,3)",498.93290069580075,0.0129
2025-11-20 15:43:14,"(1,2)",498.9328337097168,0.0128
2025-11-20 15:43:14,"(1,3)",498.9329114532471,0.0129
2025-11-20 15:43:14,"(2,3)",498.93220321655275,0.0122
2025-11-20 15:43:17,"(1,2)",498.9320411682129,0.0120
2025-11-20 15:43:17,"(1,3)",498.93204536437986,0.0120
2025-11-20 15:43:17,"(2,3)",498.9321112060547,0.0121
2025-11-20 15:43:21,"(1,2)",498.93177619934085,0.0118
2025-11-20 15:43:21,"(1,3)",498.93180526733397,0.0118
2025-11-20 15:43:21,"(2,3)",498.93170028686524,0.0117
2025-11-20 15:43:24,"(1,2)",498.9328658294678,0.0129
2025-11-20 15:43:24,"(1,3)",498.93269271850585,0.0127
2025-11-20 15:43:24,"(2,3)",498.93301567077634,0.0130
2025-11-20 15:43:27,"(1,2)",498.93290534973147,0.0129
2025-11-20 15:43:27,"(1,3)",498.93289710998533,0.0129
2025-11-20 15:43:27,"(2,3)",498.932854385376,0.0129
2025-11-20 15:43:31,"(1,2)",498.9328532409668,0.0129
2025-11-20 15:43:31,"(1,3)",498.93285888671875,0.0129
2025-11-20 15:43:31,"(2,3)",498.9328867340088,0.0129
2025-11-20 15:43:34,"(1,2)",498.93261604309083,0.0126
2025-11-20 15:43:34,"(1,3)",498.9327992248535,0.0128
2025-11-20 15:43:34,"(2,3)",498.93240501403807,0.0124
2025-11-20 15:43:37,"(1,2)",498.93279983520506,0.0128
2025-11-20 15:43:37,"(1,3)",498.9330368041992,0.0130
2025-11-20 15:43:37,"(2,3)",498.9328935241699,0.0129
2025-11-20 15:43:41,"(1,2)",498.9330821990967,0.0131
2025-11-20 15:43:41,"(1,3)",498.93303649902344,0.0130
2025-11-20 15:43:41,"(2,3)",498.9329123687744,0.0129
2025-11-20 15:43:44,"(1,2)",498.9329495239258,0.0129
2025-11-20 15:43:44,"(1,3)",498.93313957214355,0.0131
2025-11-20 15:43:44,"(2,3)",498.9328242492676,0.0128
2025-11-20 15:43:47,"(1,2)",498.93301429748533,0.0130
2025-11-20 15:43:47,"(1,3)",498.93295845031736,0.0130
2025-11-20 15:43:47,"(2,3)",498.9329962158203,0.0130
2025-11-20 15:43:51,"(1,2)",498.93270347595217,0.0127
2025-11-20 15:43:51,"(1,3)",498.9328586578369,0.0129
2025-11-20 15:43:51,"(2,3)",498.9327410125732,0.0127
2025-11-20 15:43:54,"(1,2)",498.9328411102295,0.0128
2025-11-20 15:43:54,"(1,3)",498.9326647186279,0.0127
2025-11-20 15:43:54,"(2,3)",498.9323399353027,0.0123
2025-11-20 15:43:57,"(1,2)",498.9330544281006,0.0131
2025-11-20 15:43:57,"(1,3)",498.93291358947755,0.0129
2025-11-20 15:43:57,"(2,3)",498.93296813964844,0.0130
2025-11-20 15:44:01,"(1,2)",498.9329137420654,0.0129
2025-11-20 15:44:01,"(1,3)",498.93306632995603,0.0131
2025-11-20 15:44:01,"(2,3)",498.93304008483886,0.0130
2025-11-20 15:44:04,"(1,2)",498.93241035461426,0.0124
2025-11-20 15:44:04,"(1,3)",498.9325025177002,0.0125
2025-11-20 15:44:04,"(2,3)",498.93230545043946,0.0123
2025-11-20 15:44:07,"(1,2)",498.93307273864747,0.0131
2025-11-20 15:44:07,"(1,3)",498.93288482666014,0.0129
2025-11-20 15:44:07,"(2,3)",498.9329709625244,0.0130
2025-11-20 15:44:11,"(1,2)",498.93280784606935,0.0128
2025-11-20 15:44:11,"(1,3)",498.9329679870605,0.0130
2025-11-20 15:44:11,"(2,3)",498.932905960083,0.0129
2025-11-20 15:44:15,"(1,2)",498.9329081726074,0.0129
2025-11-20 15:44:15,"(1,3)",498.93288055419924,0.0129
2025-11-20 15:44:15,"(2,3)",498.9329776763916,0.0130
2025-11-20 15:44:18,"(1,2)",498.9329000091553,0.0129
2025-11-20 15:44:18,"(1,3)",498.93280990600584,0.0128
2025-11-20 15:44:18,"(2,3)",498.9328697967529,0.0129
2025-11-20 15:44:21,"(1,2)",498.9329225921631,0.0129
2025-11-20 15:44:21,"(1,3)",498.93301666259765,0.0130
2025-11-20 15:44:21,"(2,3)",498.9330136871338,0.0130
2025-11-20 15:44:25,"(1,2)",498.93275100708007,0.0128
2025-11-20 15:44:25,"(1,3)",498.93262893676757,0.0126
2025-11-20 15:44:25,"(2,3)",498.9330230712891,0.0130
2025-11-20 15:44:28,"(1,2)",498.9328638458252,0.0129
2025-11-20 15:44:28,"(1,3)",498.93264823913574,0.0126
2025-11-20 15:44:28,"(2,3)",498.93275444030763,0.0128
2025-11-20 15:44:32,"(1,2)",498.9329402923584,0.0129
2025-11-20 15:44:32,"(1,3)",498.9330680847168,0.0131
2025-11-20 15:44:32,"(2,3)",498.93290168762206,0.0129
2025-11-20 15:44:35,"(1,2)",498.9329364013672,0.0129
2025-11-20 15:44:35,"(1,3)",498.9326882171631,0.0127
2025-11-20 15:44:35,"(2,3)",498.9326956176758,0.0127
2025-11-20 15:44:38,"(1,2)",498.9328486633301,0.0128
2025-11-20 15:44:38,"(1,3)",498.9330152130127,0.0130
2025-11-20 15:44:38,"(2,3)",498.9330290222168,0.0130
2025-11-20 15:44:42,"(1,2)",498.932794342041,0.0128
2025-11-20 15:44:42,"(1,3)",498.93255043029785,0.0126
2025-11-20 15:44:42,"(2,3)",498.9325839996338,0.0126
2025-11-20 15:44:45,"(1,2)",498.932699508667,0.0127
2025-11-20 15:44:45,"(1,3)",498.93281173706055,0.0128
2025-11-20 15:44:45,"(2,3)",498.9325678253174,0.0126
2025-11-20 15:44:48,"(1,2)",498.932808303833,0.0128
2025-11-20 15:44:48,"(1,3)",498.9330033111572,0.0130
2025-11-20 15:44:48,"(2,3)",498.9327660369873,0.0128
2025-11-20 15:44:52,"(1,2)",498.93280067443845,0.0128
2025-11-20 15:44:52,"(1,3)",498.93254684448243,0.0125
2025-11-20 15:44:52,"(2,3)",498.93292541503905,0.0129
2025-11-20 15:44:55,"(1,2)",498.9329755401611,0.0130
2025-11-20 15:44:55,"(1,3)",498.93286697387697,0.0129
2025-11-20 15:44:55,"(2,3)",498.9326942443848,0.0127
