timestamp,link,utilization_percent,weight
2025-11-20 15:30:21,s3-s2,3.58,498.9557833099365
2025-11-20 15:30:21,s1-s3,3.57,498.955679397583
2025-11-20 15:30:21,s3-s1,3.57,498.955679397583
2025-11-20 15:30:24,s1-s2,21.98,1000
2025-11-20 15:30:24,s2-s1,21.94,1000
2025-11-20 15:30:24,s2-s3,3.52,498.955203704834
2025-11-20 15:30:24,s3-s2,3.50,498.955203704834
2025-11-20 15:30:24,s1-s3,3.53,498.9553112030029
2025-11-20 15:30:24,s3-s1,3.50,498.9553112030029
2025-11-20 15:30:27,s1-s2,22.15,1000
2025-11-20 15:30:27,s2-s1,21.89,1000
2025-11-20 15:30:27,s2-s3,3.61,498.9561198425293
2025-11-20 15:30:27,s3-s2,3.45,498.9561198425293
2025-11-20 15:30:27,s1-s3,3.45,498.9544787597656
2025-11-20 15:30:27,s3-s1,3.45,498.9544787597656
2025-11-20 15:30:31,s1-s2,21.90,1000
2025-11-20 15:30:31,s2-s1,21.90,1000
2025-11-20 15:30:31,s2-s3,3.58,498.9558401489258
2025-11-20 15:30:31,s3-s2,3.58,498.9558401489258
2025-11-20 15:30:31,s1-s3,3.57,498.95567810058594
2025-11-20 15:30:31,s3-s1,3.57,498.95567810058594
2025-11-20 15:30:35,s1-s2,21.94,1000
2025-11-20 15:30:35,s2-s1,22.19,1000
2025-11-20 15:30:35,s2-s3,3.46,498.95458786010744
2025-11-20 15:30:35,s3-s2,3.45,498.95458786010744
2025-11-20 15:30:35,s1-s3,3.38,498.95376113891604
2025-11-20 15:30:35,s3-s1,3.47,498.95376113891604
2025-11-20 15:30:38,s1-s2,21.77,1000
2025-11-20 15:30:38,s2-s1,21.98,1000
2025-11-20 15:30:38,s2-s3,3.49,498.9549225616455
2025-11-20 15:30:38,s3-s2,3.40,498.9549225616455
2025-11-20 15:30:38,s1-s3,3.42,498.95415512084963
2025-11-20 15:30:38,s3-s1,3.42,498.95415512084963
2025-11-20 15:30:41,s1-s2,22.14,1000
2025-11-20 15:30:41,s2-s1,22.18,1000
2025-11-20 15:30:41,s2-s3,3.53,498.95533752441406
2025-11-20 15:30:41,s3-s2,3.53,498.95533752441406
2025-11-20 15:30:41,s1-s3,3.51,498.95514358520506
2025-11-20 15:30:41,s3-s1,3.53,498.95514358520506
2025-11-20 15:30:45,s1-s2,22.11,1000
2025-11-20 15:30:45,s2-s1,22.09,1000
2025-11-20 15:30:45,s2-s3,3.51,498.95512214660647
